,BAA10YM,BAA_YEILD_10Y_M_PCT_CHG,BAA_YEILD_10Y_Q_PCT_CHG,BAA_YEILD_10Y_A_PCT_CHG,BAA_YEILD_10Y_2A_PCT_CHG,BAA_YEILD_10Y_3A_PCT_CHG
2008-02-01,3.08,0.10000000000000009,0.2078431372549021,0.801169590643275,0.8224852071005919,0.9743589743589742
2008-03-01,3.38,0.09740259740259738,0.20714285714285707,0.9882352941176471,1.0,0.9766081871345029
2008-04-01,3.29,-0.026627218934911157,0.06818181818181812,1.00609756097561,1.00609756097561,0.7593582887700534
2008-05-01,3.05,-0.07294832826747721,-0.09763313609467461,0.9062499999999998,0.8263473053892216,0.639784946236559
2008-06-01,2.97,-0.026229508196721207,-0.09726443768996951,0.8000000000000003,0.7784431137724552,0.6779661016949154
2008-07-01,3.15,0.06060606060606055,0.032786885245901676,0.5909090909090908,0.8421052631578947,0.8529411764705883
2008-08-01,3.26,0.0349206349206348,0.09764309764309753,0.5748792270531402,0.9064327485380117,0.7814207650273222
2008-09-01,3.62,0.11042944785276076,0.14920634920634934,0.8564102564102565,1.142011834319527,0.9673913043478262
2008-10-01,5.07,0.40055248618784534,0.5552147239263805,1.2533333333333334,2.16875,1.7405405405405405
2008-11-01,5.68,0.12031558185404334,0.5690607734806628,1.227450980392157,2.4216867469879517,2.07027027027027
2008-12-01,6.01,0.05809859154929575,0.18540433925049293,1.1464285714285714,2.8037974683544302,2.302197802197802
2009-01-01,5.62,-0.06489184692179695,-0.010563380281690127,0.8246753246753247,2.6025641025641026,2.3058823529411767
2009-02-01,5.21,-0.07295373665480431,-0.13311148086522462,0.5414201183431953,2.046783625730994,2.0828402366863905
2009-03-01,5.6,0.07485604606525897,-0.003558718861210064,0.7021276595744679,2.2941176470588234,2.3136094674556213
2009-04-01,5.46,-0.02499999999999991,0.04798464491362764,0.7901639344262297,2.329268292682927,2.329268292682927
2009-05-01,4.77,-0.12637362637362648,-0.14821428571428574,0.6060606060606057,1.9812499999999997,1.8562874251497004
2009-06-01,3.78,-0.2075471698113207,-0.3076923076923077,0.19999999999999996,1.290909090909091,1.2634730538922154
2009-07-01,3.53,-0.06613756613756616,-0.259958071278826,0.08282208588957052,0.7828282828282827,1.064327485380117
2009-08-01,2.99,-0.1529745042492917,-0.20899470899470884,-0.17403314917127066,0.44444444444444464,0.7485380116959066
2009-09-01,2.91,-0.026755852842809347,-0.17563739376770526,-0.42603550295857984,0.49230769230769234,0.7218934911242605
2009-10-01,2.9,-0.003436426116838587,-0.030100334448160626,-0.4894366197183099,0.28888888888888875,0.8124999999999998
2009-11-01,2.92,0.006896551724137945,0.0034364261168384758,-0.5141430948419301,0.14509803921568643,0.7590361445783134
2009-12-01,2.78,-0.047945205479452135,-0.04137931034482767,-0.505338078291815,-0.0071428571428571175,0.7594936708860758
2010-01-01,2.52,-0.09352517985611508,-0.136986301369863,-0.5163147792706334,-0.18181818181818188,0.6153846153846154
2010-02-01,2.65,0.051587301587301626,-0.046762589928057485,-0.5267857142857142,-0.21597633136094674,0.5497076023391814
2010-03-01,2.54,-0.04150943396226414,0.007936507936507908,-0.5347985347985348,-0.2279635258358662,0.49411764705882355
